0.01, 0
0.01, 5e-04
0.01, 0.001
0.01, 0.0015
0.01, 0.002
0.01, 0.0025
0.01, 0.003
0.01, 0.0035
0.01, 0.004
0.01, 0.0045
0.01, 0.005
0.01, 0.0055
0.01, 0.006
0.01, 0.0065
0.01, 0.007
0.01, 0.0075
0.01, 0.008
0.01, 0.0085
0.01, 0.009
0.01, 0.0095
0.01, 0.0099
0.02, 0
0.02, 0.001
0.02, 0.002
0.02, 0.003
0.02, 0.004
0.02, 0.005
0.02, 0.006
0.02, 0.007
0.02, 0.008
0.02, 0.009
0.02, 0.01
0.02, 0.011
0.02, 0.012
0.02, 0.013
0.02, 0.014
0.02, 0.015
0.02, 0.016
0.02, 0.017
0.02, 0.018
0.02, 0.019
0.02, 0.0198
0.03, 0
0.03, 0.0015
0.03, 0.003
0.03, 0.0045
0.03, 0.006
0.03, 0.0075
0.03, 0.009
0.03, 0.0105
0.03, 0.012
0.03, 0.0135
0.03, 0.015
0.03, 0.0165
0.03, 0.018
0.03, 0.0195
0.03, 0.021
0.03, 0.0225
0.03, 0.024
0.03, 0.0255
0.03, 0.027
0.03, 0.0285
0.03, 0.0297
0.04, 0
0.04, 0.002
0.04, 0.004
0.04, 0.006
0.04, 0.008
0.04, 0.01
0.04, 0.012
0.04, 0.014
0.04, 0.016
0.04, 0.018
0.04, 0.02
0.04, 0.022
0.04, 0.024
0.04, 0.026
0.04, 0.028
0.04, 0.03
0.04, 0.032
0.04, 0.034
0.04, 0.036
0.04, 0.038
0.04, 0.0396
0.05, 0
0.05, 0.0025
0.05, 0.005
0.05, 0.0075
0.05, 0.01
0.05, 0.0125
0.05, 0.015
0.05, 0.0175
0.05, 0.02
0.05, 0.0225
0.05, 0.025
0.05, 0.0275
0.05, 0.03
0.05, 0.0325
0.05, 0.035
0.05, 0.0375
0.05, 0.04
0.05, 0.0425
0.05, 0.045
0.05, 0.0475
0.05, 0.0495
0.06, 0
0.06, 0.003
0.06, 0.006
0.06, 0.009
0.06, 0.012
0.06, 0.015
0.06, 0.018
0.06, 0.021
0.06, 0.024
0.06, 0.027
0.06, 0.03
0.06, 0.033
0.06, 0.036
0.06, 0.039
0.06, 0.042
0.06, 0.045
0.06, 0.048
0.06, 0.051
0.06, 0.054
0.06, 0.057
0.06, 0.0594
0.07, 0
0.07, 0.0035
0.07, 0.007
0.07, 0.0105
0.07, 0.014
0.07, 0.0175
0.07, 0.021
0.07, 0.0245
0.07, 0.028
0.07, 0.0315
0.07, 0.035
0.07, 0.0385
0.07, 0.042
0.07, 0.0455
0.07, 0.049
0.07, 0.0525
0.07, 0.056
0.07, 0.0595
0.07, 0.063
0.07, 0.0665
0.07, 0.0693
0.08, 0
0.08, 0.004
0.08, 0.008
0.08, 0.012
0.08, 0.016
0.08, 0.02
0.08, 0.024
0.08, 0.028
0.08, 0.032
0.08, 0.036
0.08, 0.04
0.08, 0.044
0.08, 0.048
0.08, 0.052
0.08, 0.056
0.08, 0.06
0.08, 0.064
0.08, 0.068
0.08, 0.072
0.08, 0.076
0.08, 0.0792
0.09, 0
